workorder_id,production_version,model_id,serial_number,station_id,name,wo_confirm,pallet_id,name,generated_date
000007007711,GLP,1182051,FWI2444-00830,AST Functional Test,In-Line,FALSE,,In-Line,2024-10-28T13:56:28.098-05:00
000007012442,GLP,1182051,FWI2528-14292,AST ORT,In-Line,FALSE,,In-Line,2025-07-11T10:10:25.975-05:00
000007012442,GLP,1182051,FWI2528-13926,AST Run-in Test,In-Line,FALSE,,In-Line,2025-07-11T10:08:26.768-05:00
000007012442,GLP,1182051,FWI2528-13950,AST ORT,In-Line,FALSE,,In-Line,2025-07-11T10:08:34.652-05:00
