symptom_label,test_step,cnt,total_cnt,ratio
"SATA fio /dev/sda write BW too slow, Cur: 3272, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 3278, Exp: 100000",RMA_BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 3332, Exp: 100000",RMA_BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 33561, Exp: 100000",RMA_BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 33681, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 3419, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 34431, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 3507, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 35616, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 3572, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 3583, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 3634, Exp: 100000",BFT,2,2,1.0
"SATA fio /dev/sda write BW too slow, Cur: 3651, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 3661, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 36682, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 3724, Exp: 100000",RMA_BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 3845, Exp: 100000",RMA_BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 3885, Exp: 100000",RMA_BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 39437, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 39485, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 4103, Exp: 100000",RMA_BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 4124, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 426, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 4297, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 4480, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 4589, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 4779, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 493, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 5179, Exp: 100000",RMA_BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 5310, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 5334, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 5566, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 60267, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 62003, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 62215, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 63073, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 6414, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 64376, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 66465, Exp: 100000",RMA_BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 680, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 68143, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 747, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 8105, Exp: 100000",RMA_BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 81507, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 82358, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 8315, Exp: 100000",RMA_BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 8408, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 84212, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 8552, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 85567, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 87647, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 87910, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88013, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88037, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 881, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88226, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88238, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88277, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88283, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88299, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88303, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88346, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88365, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88458, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88485, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88580, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88610, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88617, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88700, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88717, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88755, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88762, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88814, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88887, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88893, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88897, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88904, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88946, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88958, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88959, Exp: 100000",FAT,2,2,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88982, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88995, Exp: 100000",FAT,2,2,1.0
"SATA fio /dev/sda write BW too slow, Cur: 88999, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89011, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89063, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89080, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89123, Exp: 100000",FAT,2,2,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89124, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89127, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 8919, Exp: 100000",RMA_BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89197, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89220, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89231, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89238, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89242, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89303, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89307, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89308, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89323, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89335, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89341, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89353, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89388, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89396, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89397, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89410, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89426, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89430, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89431, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89443, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89494, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89499, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89505, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89517, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89543, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89546, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89566, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89596, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89613, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89617, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89623, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89672, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89675, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89682, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89690, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89693, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89696, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89706, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89709, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89724, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89729, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89735, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89759, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89765, Exp: 100000",FAT,2,2,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89773, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89790, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89832, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89839, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89842, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89874, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89903, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89917, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89931, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89935, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89962, Exp: 100000",FAT,2,2,1.0
"SATA fio /dev/sda write BW too slow, Cur: 8997, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89970, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89995, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 89998, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90006, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90007, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90008, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90012, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90017, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90047, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90049, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90050, Exp: 100000",FAT,2,2,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90056, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 9009, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90094, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90096, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90097, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 901, Exp: 100000",BFT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90128, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90135, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90146, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90159, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90173, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90184, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90225, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90233, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90234, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90242, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90244, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90256, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90264, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90278, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90287, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90289, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90292, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90298, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90300, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90309, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90312, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90314, Exp: 100000",FAT,2,2,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90325, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90342, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90344, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90366, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90380, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90401, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90420, Exp: 100000",FAT,2,2,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90426, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90435, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90447, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90463, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90471, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90479, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90483, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90497, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90506, Exp: 100000",FAT,2,2,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90543, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90554, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90555, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90566, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90574, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90584, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90597, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90602, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90613, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90634, Exp: 100000",FAT,2,2,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90649, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90651, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90667, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90671, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90675, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90686, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90706, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90716, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90719, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90735, Exp: 100000",FAT,2,2,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90741, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90743, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90764, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90777, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90789, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90799, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90800, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90804, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90819, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90820, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90831, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90836, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90843, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90846, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90852, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90863, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90874, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90893, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90894, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90904, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90913, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90926, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90927, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90944, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90952, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90962, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 90977, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91001, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91003, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91016, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91018, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91022, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91050, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91063, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91067, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91075, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91094, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91114, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91120, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91122, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91127, Exp: 100000",FAT,2,2,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91132, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91137, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91138, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91142, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91159, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91161, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91167, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91170, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91200, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91209, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91211, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91219, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91229, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91231, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91235, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91244, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91253, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91255, Exp: 100000",FAT,2,2,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91266, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91269, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91278, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91289, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91290, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91297, Exp: 100000",FAT,2,2,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91312, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91313, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91323, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91343, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91346, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91355, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91362, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91366, Exp: 100000",FAT,2,2,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91378, Exp: 100000",FAT,1,1,1.0
"SATA fio /dev/sda write BW too slow, Cur: 91382, Exp: 100000",FAT,1,1,1.0
